,business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,inspection_date,inspection_score,risk_category,rating,price,review_count,open,close
1328,61001,Quince Restaurant,470 Pacific Ave,San Francisco,CA,94133,37.797378,-122.40334399999999,2018-04-24,100.0,,4.0,$$,905.0,1100,2330
1329,68508,Pho Nice,880 Geneva Ave #A,San Francisco,CA,94112,37.716903,-122.441337,2018-04-24,80.0,Moderate Risk,4.0,$,430.0,0830,1930
1330,18120,Ayola,118 NEW MONTGOMERY STREET,San Francisco,CA,94105,37.787127000000005,-122.400201,2018-04-24,88.0,Moderate Risk,,,,,
1331,36547,Epic Roasthouse,Pier 26 Embararcadero,San Francisco,CA,95105,37.788962,-122.387941,2018-04-25,100.0,,,,,,
1332,33113,"Pho Tan Hoa, Inc",431 Jones St,San Francisco,CA,94102,37.785446,-122.412972,2018-04-25,100.0,,,,,,
1333,61514,Foods Co #357,1800 FOLSOM St,San Francisco,CA,94103,37.767907,-122.41558400000001,2018-04-25,88.0,Moderate Risk,4.0,$$,1390.0,1100,2100
1334,36513,Waterbar,399 Embarcadero,San Francisco,CA,94105,37.788613,-122.39389399999999,2018-04-25,92.0,Moderate Risk,,,,,
1335,11416,El Beach Burrito,3914 Judah St,San Francisco,CA,,37.760851,-122.503998,2018-04-25,92.0,Low Risk,4.0,$$,1405.0,1130,0000
1336,59691,Bouche,603 Bush St,San Francisco,CA,94108,37.790323,-122.407348,2018-04-25,91.0,Low Risk,4.5,$$,1193.0,1130,1430
1337,2996,PALOMINO EURO-BISTRO,345 SPEAR St,San Francisco,CA,94105,37.789394,-122.390073,2018-04-25,85.0,Low Risk,3.5,$,396.0,0600,2000
1338,13838,Judahlicious Juice,3906 Judah st,San Francisco,CA,94122,37.760528,-122.50399099999998,2018-04-25,90.0,Moderate Risk,3.5,$,458.0,1100,0000
1339,11365,LE PETITT'S KITCHEN,265 GOLDEN GATE AVE,San Francisco,CA,94109,37.781690000000005,-122.414823,2018-04-25,98.0,Low Risk,3.5,$,21.0,0800,2100
1340,1609,Tung Sing Restaurant,4015 24th St,San Francisco,CA,94114,37.751373,-122.43231899999999,2018-04-25,76.0,Moderate Risk,,,,,
1341,36512,Epic Roasthouse,369 Embarcadero,San Francisco,CA,94105,37.788613,-122.39389399999999,2018-04-25,94.0,Moderate Risk,,,,,
1342,642,ANDERSEN BAKERY,1737 Post St 304,San Francisco,CA,94115,37.785457,-122.43031699999999,2018-04-26,96.0,Low Risk,,,,,
1343,61641,Donairo's Pizza,6905 Geary Blvd,San Francisco,CA,94121,37.779663,-122.493618,2018-04-26,94.0,Moderate Risk,4.0,$,22.0,0600,2300
1344,1741,Osha Thai Noodle Cafe,696 Geary St,San Francisco,CA,94102,37.786598,-122.41458300000001,2018-04-26,92.0,Low Risk,,,,,
1345,59520,Sugarcane SF,6903 Geary Blvd,San Francisco,CA,94121,37.779663,-122.493618,2018-04-26,94.0,Low Risk,,,,,
1346,62179,Pampanguena Cuisine,4441 Mission St,San Francisco,CA,94112,37.727111,-122.432926,2018-04-26,92.0,Low Risk,3.5,$$,645.0,1100,1530
1347,3982,SLIM'S,333 11th St,San Francisco,CA,94103,37.771501,-122.413439,2018-04-26,94.0,Low Risk,,,,,
1348,34649,May's Coffee Shop,1737 Post St #395,San Francisco,CA,94115,37.785457,-122.43031699999999,2018-04-26,84.0,Low Risk,4.0,$,534.0,1130,2100
1349,4469,Boudin Restaurant,160 Jefferson  2nd floor,San Francisco,CA,94133,37.808352,-122.41515700000001,2018-04-26,90.0,Low Risk,,,,,
1350,943,EL CASTILLITO TAQUERIA INC.,136 CHURCH St,San Francisco,CA,94114,37.768776,-122.42909499999999,2018-04-26,76.0,Moderate Risk,3.5,$$,317.0,1030,2100
1351,1362,RESTAURANTE FAMILIAR,4499 MISSION St,San Francisco,CA,94112,37.726402,-122.433476,2018-04-26,81.0,Low Risk,,,,,
1352,60334,Tenroku Ramen #2,4435 MISSION St,San Francisco,CA,94112,37.727239000000004,-122.432799,2018-04-26,80.0,Moderate Risk,3.5,$$,332.0,1630,2100
1353,2826,Pena Pachamama,1630 Powell St,San Francisco,CA,94133,37.799718,-122.410677,2018-04-26,90.0,Moderate Risk,,,,,
1354,9273,Taqueria Mana,439 Stockton St,San Francisco,CA,94108,37.790043,-122.407104,2018-04-26,76.0,High Risk,3.5,$,68.0,0700,1900
1355,3263,Croatian Cultural Center,60 ONONDAGA Ave,San Francisco,CA,94112,37.721776,-122.43893999999999,2018-04-26,94.0,Low Risk,,,,,
1356,67895,Precita Park Cafe,500 PRECITA Ave,San Francisco,CA,94110,37.747114,-122.410459,2018-04-26,86.0,High Risk,4.0,$$,882.0,1730,2200
1357,33709,Phil'z Coffee,201 Berry St,San Francisco,CA,94107,37.775487,-122.39366100000001,2018-04-26,100.0,,3.0,$,93.0,0600,1800
1358,61623,Sammy's on 2nd,84 02nd St,San Francisco,CA,94105,37.788247999999996,-122.40013799999998,2018-04-27,94.0,Low Risk,4.0,$$,277.0,0630,1830
1359,18102,Kim Son Restaurant,3614 BALBOA St,San Francisco,CA,94121,37.775728,-122.497701,2018-04-27,92.0,Low Risk,3.5,$$,333.0,1100,2200
1360,36744,El Castillito Taqueria Star,250 Golden Gate Ave,San Francisco,CA,94102,37.781788,-122.414704,2018-04-27,71.0,High Risk,,,,,
1361,61161,Jade Garden,3608 BALBOA St,San Francisco,CA,94121,37.775728,-122.49761200000002,2018-04-27,81.0,Moderate Risk,,,,,
1362,60554,Matching Half,1799 McAllister St,San Francisco,CA,94115,37.777363,-122.441446,2018-04-27,93.0,High Risk,,,,,
1363,1075,"SANDWICH PLACE, THE",2029 MISSION St,San Francisco,CA,94110,37.764384,-122.41956599999999,2018-04-27,89.0,Low Risk,4.5,,7.0,0830,1430
1364,7527,DON CHUYS MEXI-MERCADO,544 EXCELSIOR Ave,San Francisco,CA,94112,37.724121999999994,-122.429309,2018-04-27,96.0,Low Risk,,,,,
1365,39667,Peet's Coffee & Tea,595 Market St  Suite #143,San Francisco,CA,94105,37.789437,-122.40111100000001,2018-04-27,90.0,Low Risk,,,,,
1366,2132,B & M MEI SING RESTAURANT,62 02nd St,San Francisco,CA,94105,37.788453000000004,-122.400466,2018-04-27,100.0,,4.0,$$,393.0,1600,2200
1367,1156,Boudin Petit Cafe,"170 O'Farrell St, 1st Floor",San Francisco,CA,94102,37.786547999999996,-122.40731299999999,2018-04-30,96.0,Moderate Risk,4.0,$$,905.0,1100,2330
1368,68247,Mixt Greens/Mixt,560 Mission St Suite 125,San Francisco,CA,94105,37.788426,-122.399371,2018-04-30,90.0,,,,,,
1369,35415,Alcatraz Landing Cafe,Pier 31 Parking Lot,San Francisco,CA,94111,37.805934,-122.404248,2018-04-30,100.0,,,,,,
1370,60898,Patxi's Chicago Pizza,3318 Fillmore St,San Francisco,CA,94123,37.800061,-122.43602,2018-04-30,87.0,Low Risk,4.0,$,102.0,0700,2200
1371,69069,Easy Breezy,4028 24th St,San Francisco,CA,94114,37.751418,-122.432602,2018-04-30,94.0,Moderate Risk,,,,,
1372,34662,Horizon Restaurant,498 Broadway St,San Francisco,CA,94133,37.798088,-122.405368,2018-04-30,89.0,High Risk,3.5,$,64.0,0700,2100
1373,66584,Western Donuts Shop #2,5101 MISSION St,San Francisco,CA,94112,37.717042,-122.440524,2018-04-30,90.0,Moderate Risk,,,,,
1374,62768,19th Ave Shell,1200 19th Ave,San Francisco,CA,94122,37.765421,-122.47725600000001,2018-04-30,90.0,Low Risk,4.5,$,242.0,0900,0900
1375,5986,Golden Gate Day Health (St. Anthony),350 Golden Gate Ave,San Francisco,CA,94109,37.781568,-122.416373,2018-04-30,96.0,Low Risk,3.5,$,45.0,0700,1900
1376,3431,Bimbo's 365 Club,1025 Columbus Ave,San Francisco,CA,94133,37.803906,-122.41543700000001,2018-04-30,94.0,Low Risk,4.5,$,151.0,0900,2100
1377,65860,Super Duper,721 MARKET St,San Francisco,CA,94103,37.787096999999996,-122.404122,2018-04-30,84.0,Moderate Risk,3.5,$$,142.0,1400,2200
1378,403,HAAGEN-DAZS #561,865 MARKET St,San Francisco,CA,94103,37.784317,-122.40756299999998,2018-04-30,94.0,Low Risk,,,,,
1379,2505,AMERICANA GRILL & FOUNTAIN,3532 BALBOA St,San Francisco,CA,94121,37.775806,-122.49660800000001,2018-04-30,90.0,Low Risk,4.0,$,185.0,0530,1900
1380,5156,McDONALD'S,302 POTRERO Ave,San Francisco,CA,94110,37.765507,-122.40756499999999,2018-04-30,94.0,Low Risk,3.0,$,135.0,1100,2130
1381,62730,Monroe,473 Broadway St,San Francisco,CA,94133,37.798054,-122.40501699999999,2018-05-01,93.0,High Risk,3.5,$$,915.0,1130,2100
1382,2455,MUDDY WATERS,521 VALENCIA St,San Francisco,CA,94110,37.764484,-122.421815,2018-05-01,100.0,,,,,,
1383,2957,GOLDEN STATE ADULT DAY HEALTH CARE,738 LA PLAYA St,San Francisco,CA,94121,37.774390000000004,-122.510053,2018-05-01,100.0,,3.0,$,76.0,0000,0000
1384,2501,Posh Bagel,266 Sutter St,San Francisco,CA,94108,37.789718,-122.404974,2018-05-01,90.0,Moderate Risk,,,,,
1385,2709,MELS DRIVE IN,2165 LOMBARD St,San Francisco,CA,94123,37.799684,-122.437106,2018-05-01,84.0,Moderate Risk,,,,,
1386,59986,Tsunami Panhandle,1306 Fulton St,San Francisco,CA,94117,37.776838,-122.43856299999999,2018-05-01,87.0,Low Risk,,,,,
1387,65776,111 Minna Gallery,111 Minna St,San Francisco,CA,94105,37.787378000000004,-122.39945900000001,2018-05-01,100.0,,3.0,$,130.0,0500,1900
1388,5010,LATTE EXPRESS,48 05th St,San Francisco,CA,94103,37.783225,-122.407252,2018-05-01,96.0,Moderate Risk,,,,,
1389,547,LITTLE HENRY'S,3600 BALBOA St,San Francisco,CA,94121,37.775728,-122.497522,2018-05-01,90.0,Moderate Risk,,,,,
1390,62362,Cafe Pellegrini,659 Columbus Ave,San Francisco,CA,94133,37.800851,-122.41106200000002,2018-05-01,96.0,Low Risk,4.0,$$$$,1168.0,1130,2100
1391,10170,Piaza Pellegrini,659 Columbus Ave,San Francisco,CA,94133,37.800851,-122.41106200000002,2018-05-01,82.0,High Risk,3.5,$,926.0,1100,0000
1392,3858,HUNAN RESTAURANT,110 NATOMA St,San Francisco,CA,94105,37.786944,-122.399199,2018-05-01,92.0,Low Risk,4.5,$,242.0,0900,0900
1393,1296,TAQUERIA EL BUEN SABOR,699 VALENCIA St,San Francisco,CA,94112,37.761743,-122.42149199999999,2018-05-01,82.0,Low Risk,,,,,
1394,5194,CULINARY ARTS & HOSPITALITY,50 PHELAN Ave,San Francisco,CA,94112,37.723638,-122.45227299999999,2018-05-01,90.0,Low Risk,3.5,,12.0,,
1395,3661,LA CUMBRE,515 VALENCIA St,San Francisco,CA,94110,37.764553,-122.421826,2018-05-01,85.0,Moderate Risk,4.5,,10.0,0730,1700
1396,64308,Goody Goodie Cream & Sugar,1830 HARRISON STREET,San Francisco,CA,94103,37.767967999999996,-122.41338400000001,2018-05-01,85.0,High Risk,4.0,$,208.0,0600,1730
1397,422,Michelangelo Caffe,579 Columbus Ave,San Francisco,CA,94133,37.800166,-122.41000600000001,2018-05-01,96.0,Moderate Risk,4.5,$,163.0,0600,1800
1398,69403,Lolinda,2518 Mission St,San Francisco,CA,94110,37.756698,-122.418951,2018-05-01,87.0,Low Risk,4.0,$$$,1500.0,1700,2100
1399,3796,Johnny Foley's Irish House,243 O'Farrell St,San Francisco,CA,94102,37.786314000000004,-122.408697,2018-05-01,100.0,,,,,,
1400,1668,SILVER CREST DONUT SHOP,340 BAYSHORE Blvd,San Francisco,CA,94124,37.742456,-122.40576599999999,2018-05-01,94.0,Moderate Risk,,,,,
1401,2107,Kim Thanh Restaurant,607 Geary St,San Francisco,CA,94102,37.786683000000004,-122.413274,2018-05-02,100.0,,2.5,$$,375.0,0730,0000
