,business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,inspection_date,inspection_score,risk_category
75,39875,Skool,1725 Alameda St,San Francisco,CA,94103,37.768634999999996,-122.402226,2016-11-02,96.0,Moderate Risk
76,60551,Annie's Hot Dogs & Pretzels,"Golden Gate Park, Carousel Snack Bar",San Francisco,CA,,37.777122,-122.41963899999999,2016-11-03,94.0,Moderate Risk
77,2226,Palio Paninoteca,505 Montgomery St,San Francisco,CA,94111,37.793841,-122.402947,2016-11-04,84.0,Moderate Risk
78,65383,Cafe 24,600 16th St,San Francisco,CA,94107,37.766405999999996,-122.39841899999999,2016-11-07,88.0,Low Risk
79,65724,Le Meridien SF Main Kitchen/Employee Cafeteria,333 Battery St Level A & B,San Francisco,CA,94111,37.799005,-122.39986200000001,2016-11-08,96.0,Moderate Risk
80,65725,Le Meridien SF Park Grill Restaurant & Bar,333 Battery St Level 2 & 3,San Francisco,CA,94111,37.799005,-122.39986200000001,2016-11-08,92.0,Low Risk
81,1188,OKINA SUSHI,776 Arguello Blvd,San Francisco,CA,94118,37.775723,-122.458445,2016-11-09,100.0,
82,70687,Thai Nghiep Ky,1429 NORIEGA St,San Francisco,CA,94122,37.754064,-122.47894199999999,2016-11-09,81.0,Moderate Risk
83,3510,City View Restaurant,662 Commercial St,San Francisco,CA,94111,37.794127,-122.404074,2016-11-09,68.0,Low Risk
84,69350,Chipotle Mexican Grill #1460,121 04th St Space #1035,San Francisco,CA,94103,37.784283,-122.40388100000001,2016-11-10,96.0,Moderate Risk
85,19041,Nama Sushi,227 King St,San Francisco,CA,94107,37.777398,-122.39239099999999,2016-11-10,85.0,High Risk
86,2849,Kells,530 Jackson St,San Francisco,CA,94133,37.796378000000004,-122.40402399999999,2016-11-14,90.0,Low Risk
87,67754,Joy Hing BBQ Noodles House,710 Kearny St,San Francisco,CA,94108,37.794596999999996,-122.404777,2016-11-14,86.0,Moderate Risk
88,16286,Starbucks Coffee (Store #9743),425 Battery St,San Francisco,CA,94111,37.795365999999994,-122.40043500000002,2016-11-18,88.0,Moderate Risk
89,34710,Dolce Gelato,916 Sutter St,San Francisco,CA,94109,37.788367,-122.415474,2016-11-21,94.0,Moderate Risk
90,1534,Cafe Niebaum Coppola,916 Kearny St,San Francisco,CA,94133,37.796517,-122.40516699999999,2016-11-22,88.0,Moderate Risk
91,2578,Starbucks Coffee Co,1255 Battery St,San Francisco,CA,94111,37.802545,-122.40186399999999,2016-11-28,100.0,
92,65622,Gott's Roadside Tray Gourmet,1 Ferry Building #6,San Francisco,CA,94111,37.795225,-122.39376999999999,2016-11-28,92.0,Low Risk
93,18855,Mission Creek Senior Community,225 Berry St,San Francisco,CA,94107,37.775278,-122.393873,2016-11-29,94.0,Moderate Risk
94,61494,Golden City Inn,5131 03rd St,San Francisco,CA,94124,37.731902000000005,-122.391576,2016-11-29,78.0,Low Risk
95,19057,Moscone Center West -  2nd Flr. Pantry,800 Howard St 2nd Floor,San Francisco,CA,94103,37.783257,-122.40281599999999,2016-11-30,96.0,Moderate Risk
96,19058,Moscone Center West - 1st Flr. Pantry,800 Howard St 1st Floor,San Francisco,CA,94103,37.783257,-122.40281599999999,2016-11-30,96.0,Moderate Risk
97,19056,Moscone Center West -  3 Flr. Pantry,800 HOWARD St 3/F,San Francisco,CA,94103,37.783257,-122.40281599999999,2016-11-30,96.0,Moderate Risk
98,33160,Mission Bay Cafe,550 Terry Francois St,San Francisco,CA,94158,37.770518,-122.386525,2016-12-05,94.0,Moderate Risk
99,57552,Cafe Prague,424 Merchant St,San Francisco,CA,94111,37.795398,-122.400944,2016-12-06,68.0,Low Risk
100,2899,Public House/Mijita,24 WILLIE MAYS PLAZA,San Francisco,CA,94107,37.778382,-122.39115100000001,2016-12-13,94.0,Moderate Risk
101,34728,Pete's Tavern,128 KING STREET,San Francisco,CA,94107,37.779343,-122.390519,2016-12-13,90.0,Low Risk
102,60349,Treasure Island Bar & Grill,60 Clipper Cove Way Treasure Island,San Francisco,CA,94130,37.816421999999996,-122.37058400000001,2016-12-14,87.0,
103,8251,Hog Island Oyster Co,1 Ferry Building #11A,San Francisco,CA,94111,37.795225,-122.39376999999999,2016-12-15,98.0,Low Risk
104,3536,Mrs. T's Cafe,809 Montgomery St,San Francisco,CA,94133,37.796473999999996,-122.40356000000001,2016-12-16,86.0,Moderate Risk
105,4533,Gourmet Delight,1045 Stockton St,San Francisco,CA,94108,37.795594,-122.408204,2016-12-20,90.0,Low Risk
106,4412,Barbarossa,714 Montgomery St,San Francisco,CA,94111,37.795918,-122.403283,2016-12-20,92.0,Low Risk
107,40197,Waffle Mania LLC,1 United Nations Plaza,San Francisco,CA,94102,37.780485,-122.41350700000001,2016-12-21,93.0,High Risk
108,71292,Coqueta,Pier 5,San Francisco,CA,94111,37.798084,-122.39646,2016-12-21,92.0,Moderate Risk
109,886,Le Petit Cafe,1 Maritime Plaza,San Francisco,CA,94111,37.795227000000004,-122.39913999999999,2016-12-28,96.0,Low Risk
110,7503,The Daily Habit,1 Maritime Plaza,San Francisco,CA,94111,37.795227000000004,-122.39913999999999,2016-12-28,92.0,Moderate Risk
111,65900,Olivier's Butchery,1074 Illinois St,San Francisco,CA,94107,37.758348,-122.387442,2016-12-29,96.0,Moderate Risk
112,18357,BARRIO,1609 Powell St,San Francisco,CA,94133,37.799513,-122.41070400000001,2016-12-29,86.0,Low Risk
113,3272,Cigar Bar and Grill,850 Montgomery St,San Francisco,CA,94133,37.797137,-122.403586,2016-12-29,90.0,Low Risk
114,5297,EL NORTENO,801 bryant St,San Francisco,CA,94103,37.776011,-122.40246599999999,2017-01-01,94.0,Low Risk
115,68105,Gilberth's Rottiserie & Grill,2427 03rd St,San Francisco,CA,94107,37.758903000000004,-122.38823799999999,2017-01-04,88.0,Low Risk
116,200,JIM'S SMOKE SHOP,600 20th St,San Francisco,CA,94107,37.760568,-122.387772,2017-01-04,88.0,Moderate Risk
117,33114,Sausalito Cafe #2,50 Beale St 105,San Francisco,CA,,37.792414,-122.39702,2017-01-05,68.0,High Risk
118,62780,Potrero Shell,2890 03rd St,San Francisco,CA,94107,37.752974,-122.38796,2017-01-06,90.0,Low Risk
119,3959,Hornblower Cruises & Events/Hornblower-Santa Rosa,Pier 3  The Embarcadero,San Francisco,CA,94111,37.794551,-122.39318999999999,2017-01-11,100.0,
120,63776,Una Pizza Napoletana LLC,210 11th St,San Francisco,CA,94103,37.772944,-122.415443,2017-01-11,98.0,Low Risk
121,3440,Hornblower Hospitality Svcs/MV Calif. Hornblower,Pier 3 The Embarcadero,San Francisco,CA,94111,37.799005,-122.39986200000001,2017-01-11,96.0,Moderate Risk
122,64354,"San Francisco Poultry, Inc.",1199 Stockton St #A,San Francisco,CA,94133,37.796583,-122.408413,2017-01-11,100.0,
123,64496,Hornblower Cruises & Events/SF Spirit,"Pier 3, The Embarcadero",San Francisco,CA,94111,37.794551,-122.39318999999999,2017-01-11,98.0,Low Risk
124,4108,Hornblower Cruises & Events/SF Belle,Pier 3,San Francisco,CA,94111,37.797473,-122.39591999999999,2017-01-11,92.0,Low Risk
125,2995,CAFE ROCCO,1131 FOLSOM St,San Francisco,CA,94103,37.776127,-122.408602,2017-01-17,76.0,High Risk
126,66902,Palio Paninoteca,"2565 03rd St, # 307",San Francisco,CA,94107,37.757114,-122.388034,2017-01-18,90.0,Moderate Risk
127,63896,Smokin' Warehouse BBQ,1465 Carroll Ave,San Francisco,CA,94124,37.723465999999995,-122.390795,2017-01-20,89.0,High Risk
128,68320,Newtree,16 Jessie St,San Francisco,CA,94105,37.789814,-122.398789,2017-01-20,72.0,High Risk
129,7471,S & P Concessions - Mendocino,Ferry Plaza - Pier 1,San Francisco,CA,94111,37.794404,-122.39303000000001,2017-01-23,98.0,Low Risk
130,7634,S & P Concessions-MS Marin,Ferry Plaza Pier,San Francisco,CA,94111,37.794404,-122.39303000000001,2017-01-23,100.0,
